iter	RMSE
0	0.8190947501
1	0.8152399087
2	0.8113833007
3	0.8075961073
4	0.8039469804
5	0.8003889911
6	0.7967137851
7	0.7929577008
8	0.7892947358
9	0.7855644684
10	0.7820338577
11	0.7784012198
12	0.7748426868
13	0.7712411223
14	0.7677310919
15	0.7641927298
16	0.7606145944
17	0.7570666696
18	0.7535426928
19	0.7500297564
20	0.746583437
21	0.7431667025
22	0.7397991818
23	0.7363081777
24	0.7328856577
25	0.7294948732
26	0.7261317101
27	0.7227296619
28	0.7193735833
29	0.7161063032
30	0.7128215695
31	0.7096297888
32	0.7063319851
33	0.7030347644
34	0.6997259991
35	0.6965448934
36	0.6933353886
37	0.6901271129
38	0.6869498352
39	0.68374603
40	0.6805491846
41	0.6774006449
42	0.6742854191
43	0.6712002981
44	0.6681819778
45	0.6651446075
46	0.6620607014
47	0.6590355675
48	0.6560182238
49	0.6529986814
50	0.6500358413
51	0.6470505974
52	0.6440505219
53	0.6410591647
54	0.6380602916
55	0.6351522432
56	0.6322052176
57	0.6292998926
58	0.6264135375
59	0.6234965335
60	0.6206319408
61	0.6178206452
62	0.6149182584
63	0.612051379
64	0.6093261115
65	0.6064852101
66	0.6038569685
67	0.6010495798
68	0.5982370923
69	0.595457599
70	0.5926813263
71	0.5899411635
72	0.5872603538
73	0.5847041251
74	0.5820249289
75	0.5793315123
76	0.5766319392
77	0.573967233
78	0.5713369579
79	0.5686873006
80	0.5661036832
81	0.563571152
82	0.5610430946
83	0.5584719107
84	0.5559401566
85	0.5534581834
86	0.550995425
87	0.5484699245
88	0.5460013374
89	0.5435876242
90	0.5410695577
91	0.5386657986
92	0.5361902469
93	0.5337354805
94	0.5313317123
95	0.5289090926
96	0.5265091246
97	0.524109924
98	0.5217203692
99	0.5192915638
100	0.5168936416
101	0.5145657495
102	0.5122941809
103	0.5099861732
104	0.5077132876
105	0.5053800759
106	0.503155515
107	0.500862832
108	0.4985469778
109	0.496305267
110	0.4940563178
111	0.4917722444
112	0.4895170287
