iter	Passed	Remaining
0	72	729771
1	96	482169
2	120	402285
3	147	367909
4	170	340993
5	194	324229
6	218	312413
7	244	304788
8	267	296782
9	290	290677
10	316	287286
11	341	284644
12	365	280970
13	391	278927
14	418	278592
15	440	275050
16	466	273791
17	489	271423
18	513	269673
19	537	268287
20	565	268511
21	591	268074
22	616	267253
23	642	267218
24	670	267533
25	697	267440
26	726	268503
27	758	270255
28	787	270868
29	816	271477
30	843	271170
31	866	269915
32	890	269070
33	914	268182
34	938	267315
35	961	266246
36	986	265549
37	1011	265116
38	1038	265325
39	1063	264706
40	1086	263887
41	1111	263423
42	1132	262177
43	1155	261407
44	1180	261198
45	1206	261042
46	1229	260440
47	1258	260858
48	1280	260091
49	1307	260285
50	1330	259550
51	1354	259159
52	1378	258796
53	1403	258579
54	1430	258726
55	1455	258398
56	1479	258111
57	1507	258371
58	1532	258273
59	1558	258121
60	1581	257693
61	1606	257560
62	1630	257215
63	1655	257054
64	1682	257099
65	1708	257202
66	1732	256908
67	1757	256737
68	1784	256907
69	1811	257005
70	1833	256415
71	1859	256384
72	1884	256303
73	1908	255966
74	1931	255611
75	1954	255253
76	1979	255090
77	2004	254972
78	2029	254908
79	2055	254821
80	2080	254757
81	2105	254651
82	2130	254529
83	2151	254005
84	2173	253533
85	2200	253653
86	2225	253522
87	2248	253297
88	2274	253293
89	2297	252986
90	2320	252646
91	2344	252534
92	2372	252682
93	2397	252653
94	2420	252370
95	2443	252099
96	2469	252165
97	2492	251866
98	2517	251731
99	2543	251759
100	2567	251638
101	2592	251596
102	2615	251351
103	2640	251227
104	2662	250868
105	2689	251054
106	2713	250928
107	2739	250873
108	2762	250633
109	2787	250581
110	2818	251141
111	2844	251150
112	2870	251116
113	2895	251136
114	2922	251166
115	2946	251047
116	2971	250983
117	2998	251147
118	3025	251237
119	3048	251026
120	3074	251027
121	3102	251163
122	3125	250972
123	3152	251101
124	3179	251145
125	3204	251144
126	3230	251167
127	3257	251226
128	3280	251058
129	3307	251107
130	3332	251062
131	3357	251024
132	3385	251187
133	3413	251353
134	3440	251407
135	3466	251455
136	3491	251388
137	3519	251543
138	3545	251498
139	3569	251364
140	3592	251196
141	3617	251135
142	3645	251253
143	3670	251194
144	3696	251251
145	3719	251069
146	3747	251208
147	3775	251343
148	3803	251438
149	3829	251452
150	3852	251291
151	3879	251323
152	3901	251123
153	3926	251060
154	3950	250903
155	3978	251039
156	4005	251093
157	4028	250949
158	4053	250891
159	4075	250659
160	4100	250559
161	4127	250653
162	4152	250607
163	4173	250330
164	4198	250285
165	4223	250228
166	4247	250072
167	4272	250029
168	4298	250040
169	4323	250005
170	4350	250043
171	4377	250104
172	4403	250111
173	4428	250100
174	4451	249926
175	4476	249888
176	4502	249867
177	4526	249773
178	4552	249790
179	4576	249667
180	4603	249734
181	4627	249656
182	4654	249674
183	4678	249608
184	4701	249457
185	4726	249368
186	4751	249365
187	4779	249434
188	4805	249441
189	4829	249353
190	4852	249219
191	4877	249137
192	4902	249090
193	4927	249084
194	4953	249047
195	4976	248933
196	5003	249002
197	5028	248913
198	5055	249011
199	5079	248911
200	5107	249000
201	5135	249116
202	5161	249120
203	5185	248994
204	5210	248983
205	5237	249003
206	5262	248962
207	5286	248887
208	5310	248785
209	5337	248823
210	5365	248910
211	5389	248828
212	5414	248805
213	5440	248769
214	5465	248722
215	5490	248683
216	5513	248580
217	5539	248556
218	5562	248432
219	5587	248402
220	5612	248332
221	5635	248232
222	5659	248138
223	5684	248108
224	5711	248111
225	5734	248010
226	5761	248060
227	5785	247949
228	5808	247824
229	5836	247920
230	5861	247870
231	5886	247860
232	5910	247747
233	5935	247731
234	5960	247666
235	5985	247630
236	6009	247561
237	6035	247575
238	6062	247598
239	6088	247616
240	6113	247564
241	6139	247540
242	6164	247524
243	6190	247527
244	6216	247502
245	6239	247409
246	6263	247312
247	6286	247205
248	6312	247201
249	6338	247211
250	6365	247231
251	6390	247213
252	6416	247206
253	6444	247290
254	6471	247304
255	6495	247227
256	6522	247266
257	6547	247245
258	6571	247146
259	6593	247008
260	6622	247107
261	6648	247108
262	6673	247082
263	6697	246999
264	6720	246901
265	6747	246920
266	6775	246972
267	6798	246887
268	6824	246867
269	6849	246822
270	6876	246869
271	6900	246806
272	6925	246752
273	6949	246668
274	6973	246596
275	6998	246582
276	7024	246554
277	7050	246554
278	7072	246422
279	7099	246462
280	7125	246448
281	7149	246376
282	7175	246388
283	7198	246282
284	7223	246245
285	7249	246236
286	7277	246293
287	7304	246308
288	7328	246249
289	7352	246192
290	7382	246306
291	7406	246247
292	7432	246227
293	7457	246184
294	7482	246171
295	7505	246060
296	7530	246025
297	7554	245948
298	7580	245933
299	7603	245862
300	7625	245729
301	7649	245658
302	7674	245608
303	7698	245538
304	7720	245404
305	7743	245325
306	7770	245347
307	7794	245287
308	7822	245344
309	7848	245318
310	7873	245278
311	7897	245221
312	7922	245196
313	7947	245165
314	7973	245141
315	7999	245136
316	8025	245143
317	8052	245157
318	8076	245112
319	8101	245074
320	8122	244928
321	8148	244904
322	8173	244879
323	8198	244851
324	8225	244862
325	8249	244796
326	8273	244724
327	8299	244723
328	8322	244651
329	8349	244664
330	8372	244582
331	8397	244543
332	8421	244483
333	8447	244474
334	8473	244471
335	8499	244465
336	8526	244484
337	8549	244396
338	8574	244367
339	8604	244467
340	8628	244416
341	8653	244379
342	8675	244266
343	8701	244236
344	8726	244217
345	8751	244194
346	8777	244163
347	8801	244120
348	8827	244102
349	8851	244057
350	8879	244104
351	8906	244112
352	8931	244073
353	8959	244127
354	8983	244072
355	9008	244038
356	9032	243991
357	9057	243936
358	9079	243833
359	9104	243791
360	9130	243789
361	9155	243760
362	9179	243706
363	9204	243658
364	9229	243632
365	9251	243522
366	9277	243512
367	9300	243442
368	9324	243360
369	9348	243314
370	9373	243292
371	9398	243243
372	9424	243231
373	9449	243198
374	9475	243192
375	9500	243172
376	9527	243201
377	9555	243238
378	9579	243181
379	9605	243181
380	9631	243152
381	9655	243097
382	9679	243039
383	9705	243041
384	9730	243014
385	9754	242947
386	9779	242913
387	9805	242920
388	9829	242862
389	9855	242841
390	9878	242775
391	9901	242695
392	9924	242618
393	9948	242551
394	9972	242492
395	9998	242480
396	10022	242434
397	10046	242385
398	10068	242279
399	10093	242246
400	10121	242287
401	10144	242199
402	10172	242237
403	10200	242275
404	10225	242265
405	10250	242213
406	10275	242193
407	10302	242198
408	10328	242196
409	10353	242161
410	10377	242124
411	10401	242063
412	10426	242019
413	10451	242009
414	10476	241976
415	10501	241941
416	10526	241900
417	10549	241841
418	10571	241737
419	10598	241736
420	10622	241689
421	10644	241594
422	10670	241590
423	10692	241480
424	10716	241442
425	10741	241409
426	10764	241324
427	10787	241255
428	10813	241254
429	10840	241253
430	10865	241231
431	10887	241148
432	10911	241088
433	10938	241110
434	10962	241048
435	10987	241020
436	11015	241045
437	11039	240997
438	11062	240939
439	11088	240913
440	11113	240884
441	11139	240881
442	11165	240872
443	11193	240917
444	11218	240888
445	11246	240920
446	11273	240923
447	11301	240974
448	11325	240915
449	11354	240958
450	11382	240995
451	11406	240959
452	11437	241037
453	11460	240968
454	11491	241065
455	11516	241038
456	11541	241002
457	11567	240995
458	11591	240948
459	11617	240935
460	11642	240905
461	11667	240885
462	11691	240825
463	11715	240764
464	11740	240737
465	11763	240670
466	11791	240696
467	11817	240693
468	11842	240672
469	11867	240628
470	11890	240560
471	11914	240512
472	11940	240510
473	11967	240514
474	11990	240438
475	12015	240402
476	12038	240346
477	12061	240279
478	12086	240249
479	12113	240252
480	12141	240272
481	12168	240283
482	12196	240320
483	12222	240305
484	12253	240399
485	12287	240533
486	12315	240578
487	12347	240682
488	12381	240817
489	12416	240979
490	12446	241045
491	12474	241075
492	12499	241034
493	12525	241031
494	12548	240955
495	12571	240890
496	12594	240810
497	12616	240722
498	12636	240607
499	12658	240512
500	12680	240432
501	12703	240359
502	12726	240278
503	12747	240172
504	12768	240069
505	12790	239984
506	12812	239905
507	12833	239797
508	12855	239701
509	12875	239586
510	12896	239478
511	12917	239377
512	12938	239277
513	12960	239186
514	12984	239138
515	13006	239059
516	13028	238966
517	13050	238889
518	13076	238879
519	13101	238848
520	13125	238812
521	13147	238712
522	13172	238699
